"Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS"
"T = 2",0.879106170768408,0.09123546603233,0.875524077313418,0.0896524516489944,0.876515213246588,0.0882728890639829,0.884262881160583,0.0869050554893817,0.875389919030337,0.0904174421567825,0.872645285411047,0.0879600231889289
"T = 2.5",0.886257519125699,0.0866915289043027,0.865524797396392,0.0825052082050862,0.872484800485228,0.0832364170303389,0.89949311016174,0.0813030162980405,0.867116356192321,0.0814559388260725,0.870644064303604,0.0789886563432949
"T = 3",0.854396502306001,0.101748463090367,0.835295217624932,0.0962823522122703,0.839952736967136,0.100840456647868,0.866104104694585,0.0945218072187295,0.834064969052927,0.0980109619607402,0.833599597054537,0.0956433842995544
"T = 3.5",0.783339836082598,0.0947679144293437,0.764928571755542,0.0885065563884901,0.750802598692434,0.096094842812451,0.802495058927233,0.0886098329026896,0.769042918751982,0.0895699149503388,0.766830680699425,0.0935768022552019
"T = 4",0.800752220014281,0.0843793714419936,0.779963467092302,0.0794642948598123,0.774203965637859,0.0840850234257749,0.834205621862974,0.0766294810031319,0.811430192210672,0.079284727217606,0.803607774328198,0.078853607388801
