"","EAIC","EBIC","LOOIC","WAIC"
"M2_whole: P=7",19869.4151754754,20196.6789717403,23244.7719514891,22538.7191242479
"M2_whole: P=8",19870.9451423407,20221.2556848214,23257.8579809649,22559.9660924752
"M2_whole: P=9",19892.1981901476,20265.5554788442,23248.8485057124,22545.8044784566
"M2_whole: P=10",19890.1519039486,20286.555938861,23253.0485876896,22550.6392893596
"M2_whole: P=11",19871.5408668565,20290.9916479847,23232.4063222023,22516.9440602498
