"Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS","Estimated iAUC","Estimated iBS"
"T = 2",0.850384237579548,0.097451155418105,0.808057941855211,0.115639573617304,0.863777507927569,0.0874626325176872,0.696348442068615,0.10250102458377
"T = 2.5",0.843298531286947,0.0799533547442011,0.837617704282189,0.0995592544032828,0.810195417511215,0.086228857028341,0.674611693202323,0.0924861059528829
"T = 3",0.815537330798568,0.0933035151376995,0.8288435015436,0.120478798808872,0.798337679503106,0.0960031634288777,0.680636547048268,0.107402091643543
"T = 3.5",0.777315871114854,0.0880285794937253,0.816699107215965,0.110120893391764,0.756785227218487,0.087266799686646,0.564102215009394,0.102496449394887
"T = 4",0.798211945961578,0.0830972385752603,0.821273267263584,0.099971351759396,0.760329603212367,0.0832570372538737,0.577220149950185,0.096672739876753
