"True iAUC","Estimated iAUC","True iBS","Estimated iBS"
"T = 0.3",0.81537788444008,0.509219446290311,0.0641292095334983,0.0796332878465578
"T = 0.4",0.81626296340412,0.486823049352206,0.0629812868593002,0.0784431121554408
"T = 0.5",0.803150588640095,0.467995116025557,0.0608977774602524,0.0739175475769007
"T = 0.55",0.796453672409483,0.465300281516674,0.0579705865393944,0.0691413423564664
"T = 0.6",0.784392986066191,0.468924630448158,0.0567863030586855,0.0664657177779793
