"True iAUC","Estimated iAUC","True iBS","Estimated iBS"
"T = 0.3",0.814590712849907,0.776987786421905,0.0641314426508854,0.0681030311853106
"T = 0.4",0.817763543048534,0.79910620545534,0.0628161413508772,0.0650402581455936
"T = 0.5",0.804865176510661,0.786415647915142,0.0604679922799233,0.0625716588208071
"T = 0.55",0.796880705096441,0.77421915507816,0.0575551044576395,0.0593792837904678
"T = 0.6",0.785335807572034,0.755384936727606,0.0562679570611168,0.0579589348719493
