"True iAUC","Estimated iAUC","True iBS","Estimated iBS"
"T = 0.3",0.810024253073152,0.770233458557453,0.0639987898771407,0.068066749146235
"T = 0.4",0.810425013765135,0.791186678348014,0.0642019508950726,0.0663610945295733
"T = 0.5",0.802073873847088,0.784532865098654,0.0611502324733634,0.0630200884466976
"T = 0.55",0.794589357977564,0.774018874729974,0.0582699478422084,0.0599260645906899
"T = 0.6",0.783021578480086,0.756000051498145,0.056665758596785,0.0583326779227029
