"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.97636176213653,-0.0236382378634676,0.107128642984012,0.134274577791776,1,"AMSE.mu1",0.000221743097934565
"d02",1,0.975895327790701,-0.0241046722092993,0.0716122438937748,0.0658519425920446,0.9,"AMSE.mu2",0.0000750099698047701
"d11",1,0.970032137964601,-0.029967862035399,0.064620946493326,0.0446518154124182,0.79,"AMSE.mu3",0.000270865455314175
"d_m1",0.1,0.100684319268472,0.000684319268471886,0.00288339402041498,0.000209988556544333,0.12,"AMSE.mum",0.000000351206820100051
"d_m2",0.07,0.0700517596173684,0.0000517596173683771,0.00194631549476731,0.000156970299258645,0.11,"AMSE.phi1",0.00230792952226087
"d_m3",0.05,0.05041563595723,0.000415635957230036,0.00152596691607656,0.000115874559837491,0.11,"AMSE.phi2",0.00193576928697729
"d_m4",0.03,0.0303522666204396,0.00035226662043961,0.000807867090850511,0.0000640723740209443,0.1,"AMSE.psi1",0.00179810407146624
"d_m5",0.01,0.0103058286363665,0.000305828636366537,0.000288632373737623,0.0000162132448124298,0.07,"AMSE.phi_m1",1.08299032890788
"beta_2",-0.55,-0.549603086197087,0.000396913802912624,0.00881952907811109,0.00815723357124254,0.95,"AMSE.phi_m2",0.654346943197393
"beta_3",-0.6,-0.602338340197595,-0.00233834019759538,0.0130470423872434,0.0134711691858241,0.96,"AMSE.psi_m1",0.000970590073950029
"beta_m",0,-0.0209777671940902,-0.0209777671940902,0.00357425231995201,NA,0,"AMSE.psi_m2",0.00191494105521017
"sigma_1",1.1,1.10464315691595,0.00464315691594508,0.0109829409467891,0.012842765969485,0.99,"AMSE.psi_m3",0.00181019539748589
"sigma_2",0.6,0.601807737817631,0.00180773781763144,0.00570790876558088,0.0070173871564159,0.98,"AMSE.psi_m4",0.000289784087733376
"sigma_3",1.36,1.36033959365808,0.00033959365808145,0.0113391583669377,0.0147477993876152,1,"AMSE.psi_m5",0.000219646077719387
"sigma_m",0.4,0.399918835827791,-0.0000811641722092693,0.00020845039424094,0.399918889610014,0,NA,NA
"logh0",-1.5,-1.55110980133974,-0.0511098013397395,0.166843023704505,0.145042908610995,0.91,NA,NA
"gamma_x",0.3,0.303362688862054,0.00336268886205432,0.114264213058509,0.100542522865846,0.9,NA,NA
"gamma0",0.6,0.610709818915902,0.0107098189159021,0.0587506095533123,0.0551736076577699,0.95,NA,NA
"gamma11",0.35,0.328925138979669,-0.0210748610203313,0.0908286394861782,0.0911576088311074,0.94,NA,NA
"gamma12",0.3,0.272506019693749,-0.027493980306251,0.0869011665647893,0.0910921326205465,0.92,NA,NA
"gamma13",0.1,0.104133195101063,0.00413319510106318,0.112501426936513,0.108824062477992,0.94,NA,NA
"gamma_m1",-0.6,-0.6039450187574,-0.00394501875739994,0.238009002118386,0.223313377000833,0.95,NA,NA
"gamma_m2",-1.1,-1.12274723292012,-0.0227472329201244,0.304909608342104,0.271834619669962,0.93,NA,NA
"gamma_m3",-0.5,-0.504334205845693,-0.00433420584569344,0.380246077526185,0.315397323884181,0.88,NA,NA
"gamma_m4",0.7,0.680974716129218,-0.0190252838707818,0.422699525392977,0.408349572528896,0.97,NA,NA
"gamma_m5",-1.8,-1.78401210477793,0.015987895222066,0.799097713557565,0.696430187148877,0.92,NA,NA
"xi_{i1}",0.583013488539465,0,0,0,0,0,NA,NA
"xi_{i2}",0.234374804101905,0,0,0,0,0,NA,NA
"xi_{mi1}",0.00217138936001853,0,0,0,0,0,NA,NA
"xi_{mi2}",0.00383166882071539,0,0,0,0,0,NA,NA
"xi_{mi3}",0.00291379624477825,0,0,0,0,0,NA,NA
"xi_{mi4}",0.00142793178183855,0,0,0,0,0,NA,NA
"xi_{mi5}",0.00044165584262097,0,0,0,0,0,NA,NA
