"True iAUC","Estimated iAUC","True iBS","Estimated iBS"
"T = 0.3",0.816255473524762,0.759218127462617,0.0640604397975705,0.0698524128687874
"T = 0.4",0.816609685541747,0.792773326797563,0.0627046147752985,0.065589851265403
"T = 0.5",0.805021233552017,0.785898749962231,0.0608166695395485,0.0657778102000729
"T = 0.55",0.795803476104518,0.774231971196054,0.058141322941516,0.0654487543149546
"T = 0.6",0.7829850207905,0.749947733588779,0.0568128586672454,0.0671554035650322
