"True iAUC","Estimated iAUC","True iBS","Estimated iBS"
"T = 0.3",0.817103753575461,0.780461803052896,0.0832078111208649,0.0896317767730745
"T = 0.4",0.814510021073638,0.79410341473325,0.0821543710059948,0.0860326506562597
"T = 0.5",0.799672581304445,0.783565025241539,0.0800199487508878,0.0830380944406083
"T = 0.55",0.792789684686978,0.771380050443156,0.0771311218500493,0.0804117711665234
"T = 0.6",0.77688801391206,0.752667119534417,0.0766976203206641,0.0802270491500533
