"True iAUC","Estimated iAUC","True iBS","Estimated iBS"
"T = 0.3",0.81537788444008,0.542009765197042,0.0641292095334983,0.076566061425902
"T = 0.4",0.81626296340412,0.550080287971169,0.0629812868593002,0.0750834652300048
"T = 0.5",0.803150588640095,0.551859688436021,0.0608977774602524,0.0703660967632905
"T = 0.55",0.796453672409483,0.548338607742406,0.0579705865393944,0.0656676837503579
"T = 0.6",0.784392986066191,0.549760866569938,0.0567863030586855,0.0631306124869286
