"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.94494358558877,-0.0550564144112289,0.102856076617881,0.132395328615147,0.98,"AMSE.mu1",0.000235582348088353
"d02",1,0.971097039857985,-0.0289029601420151,0.0654165809506247,0.0650518060096407,0.94,"AMSE.mu2",3.04207617136846e-05
"d11",1,0.973538559628681,-0.0264614403713193,0.0654805748645972,0.044741106908574,0.81,"AMSE.mu3",0.000197432368413172
"d_m1",0.1,0.10095065750105,0.000950657501050334,0.00340951535534452,0.000454312020578034,0.2,"AMSE.mum",7.55646764639178e-07
"d_m2",0.07,0.0718735334098976,0.00187353340989763,0.00222483333450824,0.000521813852793193,0.24,"AMSE.phi1",0.00187119235077164
"d_m3",0.05,0.0510708204833238,0.00107082048332384,0.00176633923207725,0.000293522019174924,0.2,"AMSE.phi2",0.00141017515190524
"d_m4",0.03,0.0304104473211649,0.00041044732116486,0.000791821808672751,0.000105086185381199,0.13,"AMSE.psi1",0.00143224550163988
"d_m5",0.01,0.010419400081384,0.000419400081384018,0.000285194802569595,5.54994390979937e-05,0.09,"AMSE.phi_m1",0.0642214259954223
"beta_2",-0.55,-0.551330797636565,-0.00133079763656474,0.00824652221391597,0.00816919415730196,0.96,"AMSE.phi_m2",0.0896583091296624
"beta_3",-0.6,-0.601338970297851,-0.00133897029785057,0.0140293154233182,0.0134665821149472,0.93,"AMSE.psi_m1",0.00302829681661065
"beta_m",-0.05,-0.0481805658443484,0.0018194341556516,0.00863992912706842,NA,0,"AMSE.psi_m2",0.00335037314831764
"sigma_1",1.1,1.10125448460206,0.00125448460206301,0.00997070593901026,0.0127548515200659,0.99,"AMSE.psi_m3",0.00205350341050426
"sigma_2",0.6,0.601705451141463,0.00170545114146325,0.0056002355469878,0.00698624528846033,1,"AMSE.psi_m4",0.000426755560197079
"sigma_3",1.36,1.36150507432268,0.00150507432267832,0.0120882882974512,0.0147496733409324,0.97,"AMSE.psi_m5",0.000329682738340578
"sigma_m",0.4,0.399932673515411,-6.73264845887922e-05,0.000192130119188615,0.399932719204152,0,NA,NA
"logh0",-1.5,-1.55821256163943,-0.0582125616394347,0.140577281524113,0.144848443003077,0.93,NA,NA
"gamma_x",0.3,0.309268369717349,0.00926836971734901,0.104983585878335,0.101682517052969,0.95,NA,NA
"gamma0",0.6,0.593298474121992,-0.00670152587800776,0.0519091546734414,0.055167157815129,0.96,NA,NA
"gamma11",0.35,0.355492697124081,0.00549269712408151,0.082556019433383,0.0904897805787012,0.98,NA,NA
"gamma12",0.3,0.286646266435173,-0.0133537335648274,0.0876201864562229,0.0906835927546085,0.97,NA,NA
"gamma13",0.1,0.100037195492995,3.71954929949403e-05,0.0952098214188647,0.109433710321328,0.98,NA,NA
"gamma_m1",-0.6,-0.523994980317643,0.0760050196823568,0.231625280214312,0.224506867099614,0.94,NA,NA
"gamma_m2",-1.1,-1.08052382186634,0.0194761781336559,0.290863295664155,0.269822263267248,0.96,NA,NA
"gamma_m3",-0.5,-0.608341617615339,-0.108341617615339,0.394621010598369,0.315817358041529,0.87,NA,NA
"gamma_m4",0.7,0.809172593229698,0.109172593229698,0.463397255266044,0.40748486773652,0.9,NA,NA
"gamma_m5",-1.8,-1.71257285973227,0.0874271402677314,0.669620959551067,0.701330677400044,0.96,NA,NA
"xi_{i1}",0.583055752238223,0,0,0,0,0,NA,NA
"xi_{i2}",0.22981157286843,0,0,0,0,0,NA,NA
"xi_{mi1}",0.0032996965861584,0,0,0,0,0,NA,NA
"xi_{mi2}",0.00504336245106254,0,0,0,0,0,NA,NA
"xi_{mi3}",0.00368920199120235,0,0,0,0,0,NA,NA
"xi_{mi4}",0.0013108297537537,0,0,0,0,0,NA,NA
"xi_{mi5}",0.000584781794492515,0,0,0,0,0,NA,NA
