"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.94644558428427,-0.0535544157157328,0.0901685534018924,0.107531511323345,0.96,"AMSE.mu1",0.000178287551285747
"d02",1,0.975754596365499,-0.0242454036345007,0.0556015260880786,0.0536394494943688,0.91,"AMSE.mu2",3.62423753869952e-05
"d11",1,0.973159837603114,-0.0268401623968864,0.0525882927541774,0.0364603037524691,0.76,"AMSE.mu3",0.000156258107354436
"d_m1",0.1,0.101320302389504,0.00132030238950419,0.00205471959346861,0.000367365799310118,0.22,"AMSE.mum",3.94000308923381e-07
"d_m2",0.07,0.071929300666228,0.001929300666228,0.00171152229449309,0.000411000120335519,0.19,"AMSE.phi1",0.0020411447471766
"d_m3",0.05,0.0510217825984947,0.00102178259849468,0.00122012135482522,0.000244077370507727,0.17,"AMSE.phi2",0.00169843240091869
"d_m4",0.03,0.0303629801253958,0.000362980125395776,0.000671647111944447,9.01433277150234e-05,0.16,"AMSE.psi1",0.00120773382229609
"d_m5",0.01,0.010388985321301,0.000388985321301017,0.000242834825264696,4.27349569450583e-05,0.06,"AMSE.phi_m1",0.054782182037145
"beta_2",-0.55,-0.551673740683295,-0.00167374068329496,0.00648070513770977,0.00664277161810906,0.94,"AMSE.phi_m2",0.0749819784189818
"beta_3",-0.6,-0.601549717811502,-0.00154971781150182,0.01067111538326,0.0109436330211391,0.96,"AMSE.psi_m1",0.0029551931941568
"beta_m",-0.05,-0.0474722724259683,0.00252772757403166,0.00770032472130657,NA,0,"AMSE.psi_m2",0.00379628790890292
"sigma_1",1.1,1.10064161389902,0.000641613899021065,0.00953629683386482,0.0104150340118302,0.98,"AMSE.psi_m3",0.000519825014477624
"sigma_2",0.6,0.600734370477157,0.000734370477157409,0.00490375855944474,0.00568245014995034,0.99,"AMSE.psi_m4",0.000194110570396079
"sigma_3",1.36,1.36111703923278,0.00111703923278306,0.0094004655452237,0.0120349607518808,1,"AMSE.psi_m5",0.000197670822164097
"sigma_m",0.4,0.399961993470872,-3.80065291284981e-05,0.00017383622841277,0.399962030870478,0,NA,NA
"logh0",-1.5,-1.55669889174641,-0.0566988917464053,0.115407405916027,0.117122803095795,0.95,NA,NA
"gamma_x",0.3,0.31769711313206,0.0176971131320603,0.0793785641223023,0.0821072947977089,0.95,NA,NA
"gamma0",0.6,0.598191710254325,-0.00180828974567526,0.0458967661479596,0.0444879787901319,0.95,NA,NA
"gamma11",0.35,0.352290334365792,0.00229033436579212,0.0668527145059557,0.0730895819735608,0.96,NA,NA
"gamma12",0.3,0.298469056888132,-0.00153094311186824,0.0734898530247684,0.0729760334706612,0.94,NA,NA
"gamma13",0.1,0.102604981024595,0.00260498102459507,0.088946609620206,0.0875080110519253,0.95,NA,NA
"gamma_m1",-0.6,-0.565144655791099,0.0348553442089006,0.238922425796899,0.181214621781661,0.88,NA,NA
"gamma_m2",-1.1,-1.089094970921,0.010905029078998,0.256522425501816,0.219152620950854,0.88,NA,NA
"gamma_m3",-0.5,-0.597830672781853,-0.0978306727818534,0.33034240829283,0.256309887440717,0.86,NA,NA
"gamma_m4",0.7,0.704910417908742,0.0049104179087418,0.359651614849044,0.330683832099957,0.94,NA,NA
"gamma_m5",-1.8,-1.73325963403075,0.0667403659692543,0.541364738333631,0.569543107508242,0.97,NA,NA
"xi_{i1}",0.578188445417999,0,0,0,0,0,NA,NA
"xi_{i2}",0.225852923612079,0,0,0,0,0,NA,NA
"xi_{mi1}",0.00278769727476955,0,0,0,0,0,NA,NA
"xi_{mi2}",0.00389564013297364,0,0,0,0,0,NA,NA
"xi_{mi3}",0.00242409895378691,0,0,0,0,0,NA,NA
"xi_{mi4}",0.000991088923460307,0,0,0,0,0,NA,NA
"xi_{mi5}",0.000478113243413835,0,0,0,0,0,NA,NA
