"True iAUC","Estimated iAUC","True iBS","Estimated iBS"
"T = 0.3",0.81537788444008,0.776919337882667,0.0641292095334983,0.0681124710351355
"T = 0.4",0.81626296340412,0.796392726664967,0.0629812868593002,0.065334043375791
"T = 0.5",0.803150588640095,0.782644840017076,0.0608977774602524,0.0630425036140843
"T = 0.55",0.796453672409483,0.771608711177782,0.0579705865393944,0.0598546713100088
"T = 0.6",0.784392986066191,0.752293705308328,0.0567863030586855,0.058565162178557
