"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"A1[1]",7.46594708927682,0.0990654175376628,7.26833598056908,7.66018985236106,347.262905526002,1.01087901277642
"A1[2]",7.44997959849908,0.128947755269452,7.18672580313904,7.70033203645687,372.101580475376,1.00516821571807
"A1[3]",7.72484567545043,0.157150807946501,7.39966504914083,8.030544794545,674.425230800765,1.00323367412809
"A1[4]",7.67711632723866,0.172157438981478,7.33506092421039,8.00241636375374,448.758401331593,1.00170870324158
"A1[5]",7.97044344014536,0.210070178315384,7.56516274364717,8.38912258495636,665.367713059004,1.00465234483993
"A1[6]",8.61907425762998,0.298621932687677,8.02265866889675,9.18670344156073,781.491907432508,1.0002559859711
"A1[7]",9.39907663744404,0.497428538449246,8.46192631677803,10.3730372056605,653.939339631263,1.00323600784004
"A1[8]",10.3593320374272,0.715467752514007,8.96146018915491,11.7617095387823,907.650316948397,1.00368006294898
"A1[9]",10.3867156629824,0.584467081564047,9.24651137109603,11.5523416111369,457.811526066164,1.01221054514149
"A2[1]",7.82105601229141,0.0551228169704708,7.71163608444343,7.92690797275393,320.31594256904,1.00784310384353
"A2[2]",7.4077233135977,0.072333917623171,7.26576797754057,7.54999231281351,408.776047772103,1.00327629682384
"A2[3]",7.90796953153624,0.0907607028155417,7.73079953494136,8.08028171893987,640.148215867901,1.00473359997833
"A2[4]",7.35131166216899,0.0980542386757706,7.16299308078452,7.54629610128664,611.829500578846,1.0004477974032
"A2[5]",7.58481145982762,0.123094751873713,7.34163783646234,7.82131272475028,685.563172436078,1.00275860682478
"A2[6]",7.22089509536089,0.163861932081571,6.91098359073345,7.53384337604886,1039.05213838602,1.00109971211941
"A2[7]",7.60171860976613,0.276875101576979,7.04817036738385,8.12087397840658,702.063738777467,1.00309635707468
"A2[8]",6.54626402122492,0.405377716277009,5.76293593817461,7.33898628018076,894.184088513736,1.00558037767474
"A2[9]",6.81433752360136,0.308459552532014,6.20355288361379,7.40201952868369,450.796859257171,1.01548136083533
"A3[1]",3.27740782444712,0.0718551087118121,3.13357667380113,3.42074719248568,470.984822448218,1.00458873063165
"A3[2]",2.97181436434118,0.118406132297515,2.74148653793658,3.20521636753565,687.016814720569,1.0018241963444
"A3[3]",3.15685132076148,0.165314889608806,2.82984193452407,3.47368404644174,937.2903279364,1.00051691827816
"A3[4]",2.74957550442807,0.181958799972417,2.3808630901154,3.10642566963091,879.198331123409,1.00407084338845
"A3[5]",2.72565502863273,0.241905997524609,2.24818581584196,3.19897400099073,751.099428913796,1.00522818342898
"A3[6]",2.29204526258109,0.326133587556807,1.66689322392026,2.94249218630424,1106.04035010047,1.00047925847088
"A3[7]",3.34264880809934,0.559447469077644,2.21843760134458,4.42733476725644,1317.73248560252,1.00266473954921
"A3[8]",0.6671402162097,0.785776837335426,-0.870583206199539,2.25543631554795,1269.60251389974,0.999284909049382
"A3[9]",3.3880642392386,0.555317364422568,2.25569444163648,4.46844167063572,1360.44361808547,1.00600956817223
"A4[1]",3.31610095874303,0.00366134642055144,3.30892742176196,3.3232863204783,404.740216745751,1.00298896280568
