"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"A1[1]",7.43912860051138,0.0998081479761693,7.24613554787342,7.63580875957854,221.274560280874,1.00944239057892
"A1[2]",7.42186627120518,0.127296785849792,7.17230873044983,7.66248687057095,336.934425662403,1.00588439456104
"A1[3]",7.68560885176311,0.162878949848425,7.37099559683086,8.01014888630949,343.358106221059,1.00755859083645
"A1[4]",7.6614033079576,0.164775428124009,7.34548017367235,7.98581653314037,384.98662963123,1.0086137450958
"A1[5]",8.05591959899983,0.22328151746423,7.62458462334075,8.50242898611606,335.506872956857,1.00599472606512
"A1[6]",8.77274623779975,0.306933953245795,8.1839107004082,9.39071684845921,515.8283557943,1.00512123479235
"A1[7]",9.6790581816471,0.511392452798376,8.6478444613778,10.6535763346938,419.648976854758,1.00085589945763
"A1[8]",10.8614563578377,0.744565827461959,9.40162272861404,12.356883981356,538.820774769814,1.00651042510429
"A1[9]",10.9032080847337,0.582135900234872,9.75582920093296,12.0491307238289,240.653266237315,1.01085076248111
"A2[1]",7.83463525063382,0.0544424347734235,7.72690517417817,7.93941763263173,155.726731501192,1.01220019155217
"A2[2]",7.4206229155934,0.0713466100402112,7.2786275621326,7.55872895361479,202.1805568028,1.00850905168777
"A2[3]",7.92688865363025,0.0903041330915612,7.75675871154268,8.10716023237961,418.411467815099,1.00632672725885
"A2[4]",7.35554744115674,0.098325873267692,7.16632705169863,7.55432667599621,339.667585161528,1.00228760597123
"A2[5]",7.53816655470714,0.127855349573646,7.28617962073761,7.78637447670407,419.984109993515,1.00487800195333
"A2[6]",7.13218190980328,0.1658477491477,6.81054855673666,7.46040794518949,504.313795757349,1.00302429634732
"A2[7]",7.4435762750971,0.28558511739921,6.88681562062462,8.01392338920658,498.663935108345,0.999734326908794
"A2[8]",6.25801380015306,0.40205389929571,5.45419223643503,7.05860069590259,467.348779176454,1.00492205308192
"A2[9]",6.51279986117541,0.31212879089852,5.89543257076966,7.1326152982828,365.057871738903,1.00212856772628
"A3[1]",3.29374876245703,0.0720668018068012,3.15088975206156,3.43618714580405,344.237566913691,1.00853846018594
"A3[2]",2.9897361868636,0.113620630238863,2.76982118395551,3.22421932306816,541.645496326423,1.00180663117483
"A3[3]",3.16015956269713,0.165783462602937,2.83335120604975,3.49028558524829,576.049022732389,1.00304279836402
"A3[4]",2.75965270801558,0.179897390065536,2.4118502370559,3.12318068332769,602.043135257527,1.00166089360378
"A3[5]",2.64959486422602,0.236140551106676,2.17333787195599,3.10302840559937,576.057450302071,1.00143232145381
"A3[6]",2.21372811642839,0.331397777764671,1.59545157543532,2.86774176566561,799.04359561461,1.00443286491029
"A3[7]",3.12211288754065,0.561272393376161,2.04306859272603,4.22374559162751,800.936354200885,1.00039386597713
"A3[8]",0.384111254959253,0.785497785229166,-1.12988363961182,1.91574245858401,967.688414792745,1.00427467885415
"A3[9]",3.01732339798151,0.615393071234368,1.75552058938579,4.25855218109575,809.55988597395,1.00514214361855
"A4[1]",3.31702705312756,0.00350299676813458,3.3098289802421,3.32379723131067,262.362796440158,1.00847487080491
"A4[2]",3.29855405686531,0.00539711026646502,3.28799908967048,3.3091982377928,485.742279347866,1.00552177303383
"A4[3]",3.29793108049523,0.0071390523083194,3.28409756015315,3.31189404989038,649.18427986336,1.00002762596557
"A4[4]",3.28478974277901,0.00791368297713666,3.26952623125799,3.29972925057766,600.155732846304,1.00574242797431
"A4[5]",3.27784371406266,0.0108017600070564,3.25622330908429,3.29796085585711,481.882487126103,1.0023029029622
"A4[6]",3.26596049438604,0.0151742257315908,3.23602199998185,3.29462459488094,630.080408286564,1.0084563971206
"A4[7]",3.2445009561568,0.0258985325347033,3.1947640659315,3.29660594653754,483.691498048347,1.00623049920288
"A4[8]",3.23340470744317,0.0363558380493081,3.16286470383915,3.30591556860069,665.307735693487,1.00349466277142
"A4[9]",3.2479892301172,0.0263549307155085,3.19603233701854,3.2988615120888,872.765509292731,1.00076173317957
"A5[1]",0.856862771236161,0.0172905352093242,0.823801228393358,0.891885064859321,297.985633248311,1.0120945564932
"A5[2]",0.879061250442724,0.0252134529352042,0.828332756660966,0.927416157364408,499.637199368415,1.00475553996424
"A5[3]",0.957574939066497,0.0356640993930975,0.891076238960503,1.02530155211697,516.444925391205,1.00505454491452
"A5[4]",0.920494949888517,0.037053042507326,0.849142049395634,0.994838257421097,546.317256124044,1.00687530227839
"A5[5]",0.922698447511678,0.0494510361980221,0.82278163857728,1.01781088983561,475.037288822542,1.00521186627072
"A5[6]",0.99395372819974,0.0679986130188397,0.859709640784558,1.1263066749662,547.848369061503,1.00856986196819
"A5[7]",1.1343041988316,0.115883051171074,0.913728790499969,1.36050500744844,734.094824583535,1.00249011898487
"A5[8]",0.75798566298078,0.163795888563728,0.447985486170072,1.08273032419425,766.05078022055,1.00286082635424
"A5[9]",1.28937059636146,0.120451802891909,1.05699252498066,1.52668949856677,453.583698701186,1.00794572025274
"d0[1]",4.80461598803562,0.348007870929309,4.15357204204791,5.50538988554303,373.485053106394,1.00548221107457
"d0[2]",0.908408831305298,0.106699897941272,0.711089382458394,1.12291073677512,289.276991031557,1.01801778285383
"d1[1]",2.76115986323371,0.133952347058904,2.51963260496288,3.04076804956284,117.440994744324,1.01540548849495
"dm[1]",0.078050072113998,0.00109010753375916,0.0759160242279346,0.080158374513733,1160.2813632165,1.00250626136324
"dm[2]",0.0484160955596214,0.000393900368291751,0.0476718425099373,0.0491985354666729,830.371353420254,1.00003005362604
"dm[3]",0.0201210769109048,5.35868547105721e-05,0.0200177895728514,0.0202264655553273,1014.08613473734,1.00335374559946
"dm[4]",0.0119126304503362,2.30776909902583e-05,0.0118684713247171,0.0119585930608524,1041.01391987408,1.00203777732634
"dm[5]",0.0109471363728567,5.75876766996689e-06,0.0109352268312435,0.0109581955482704,1143.48941770679,1.00379694482477
