"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"A1[1]",7.47116826359799,0.0335923493197954,7.40458479826122,7.53627670803956,2070.45758341716,1.00006140230467
"A1[2]",7.44079522717742,0.0721455920741792,7.30603122758013,7.58702036350027,1189.65436873723,1.00273753311666
"A1[3]",7.70430150540994,0.103452239284563,7.49592082584228,7.90161984096307,882.397316857325,1.00602272454799
"A1[4]",7.66277876764162,0.115450238910035,7.45177267377812,7.89734903891908,799.624627751976,1.00485691052405
"A1[5]",7.97675182089919,0.159804985103804,7.6502912202977,8.27218698440586,881.828053371167,1.00171615090993
"A1[6]",8.64690837674498,0.222737896509403,8.2103066413974,9.08418428379407,810.81323168071,1.00029983805308
"A1[7]",9.51058177082445,0.373144639900793,8.76569077464761,10.2373174790413,756.420167095294,1.00086879831022
"A1[8]",10.4752134490698,0.496392638634111,9.51816935912319,11.4568083431522,974.430476120648,0.999759151613418
"A1[9]",10.5454650127464,0.330169173006378,9.88246422522286,11.1858105827744,2346.22863545385,0.999355074179465
"A2[1]",7.81776391577078,0.0199672901129048,7.77778657922073,7.85780785918678,2653.45627452993,1.00017180241024
"A2[2]",7.40789546733396,0.0399576184055555,7.32733094054548,7.48794437960014,1215.64087223447,1.0014329877152
"A2[3]",7.9142637486571,0.0564001652136957,7.80475371755196,8.02600917070475,900.456366377615,1.00312755612571
"A2[4]",7.3090391531536,0.0648941463974245,7.18370039111116,7.43362368643677,862.047508873763,1.00450951158631
"A2[5]",7.5379782556115,0.0861854696498088,7.36629078319902,7.70472998318898,853.431765984022,1.00490179758889
"A2[6]",7.15844459770714,0.122289354917561,6.92430243811893,7.38574228662908,851.548370755212,1.00518349143495
"A2[7]",7.5074108411505,0.202725612258817,7.1333391876774,7.90197714190121,923.199129976421,1.00282685406314
"A2[8]",6.33125582339611,0.273942872484948,5.78325031793119,6.86625673749073,1116.87617209203,1.00204935208458
"A2[9]",6.65271560366498,0.183561759325,6.29944855657568,7.0235752705669,2004.59755733924,1.00178559832934
"A3[1]",3.27473627588546,0.0449264352392374,3.18686499128039,3.35916593431051,2268.85711761148,1.00000347318847
"A3[2]",2.97207519719604,0.0907728532151462,2.79431333364092,3.15739685732374,1296.36266273917,0.99953554665493
"A3[3]",3.1403022790762,0.132502756751142,2.88397440912543,3.39799448000243,1017.24181402479,0.999248380746885
"A3[4]",2.62079242305015,0.147884614028851,2.33663966459972,2.91407214528136,984.942694094035,0.999254926234082
"A3[5]",2.58213969435697,0.19891248048584,2.19041616277003,2.96698663452589,985.358491222041,0.999533672364776
"A3[6]",2.16499631327647,0.288486095111896,1.61626612106647,2.72310059361794,1041.19358981784,1.00027867721521
"A3[7]",3.13782118912466,0.464371011627214,2.2526843457147,4.05698613991117,910.708851395292,1.00049121552875
"A3[8]",0.198864325313774,0.633110347256415,-1.06792385911689,1.39841954884467,1108.53058782801,1.0004929416444
"A3[9]",3.06040755281331,0.398523899047786,2.26908677373917,3.81065440230691,1809.55821053123,1.00082976159305
"A4[1]",3.31610471169947,0.00189328102895474,3.31237982794083,3.3198227466414,5255.63362403301,0.999592292180459
"A4[2]",3.29723885581993,0.0039375747722462,3.28950682912297,3.30485669454306,1672.68336051535,1.00017024221987
"A4[3]",3.29602950175749,0.00551574718933837,3.28554281870057,3.3067667200775,1288.02931473125,1.00101072745215
"A4[4]",3.27763758652482,0.00616382109467446,3.26569305939752,3.29017437741367,1107.01635254458,1.00037428787354
"A4[5]",3.27521874308484,0.00828750213395622,3.25914048518089,3.2913154860337,1209.9199981294,0.999443779852665
"A4[6]",3.26262395960797,0.0122096123503092,3.23904246242337,3.28624351661371,1017.07025829171,0.999885320103132
"A4[7]",3.24203418778051,0.0207773481846529,3.20144702589781,3.28308538858383,974.392773264457,1.00109902992806
"A4[8]",3.22856791951901,0.028338323012888,3.17171112327493,3.28100709492449,1226.6905297532,0.999759062221035
"A4[9]",3.24603627101456,0.0183851207505781,3.20953772332315,3.2818090786191,2366.61962991477,1.0003731197966
"A5[1]",0.861533543689419,0.00862572304223217,0.844615353530557,0.878543515058687,2275.2850496721,0.999670356125208
"A5[2]",0.882984919085224,0.0186167345877996,0.846465773436375,0.918668197908946,1339.32916891071,1.00266828771529
"A5[3]",0.957305838717659,0.0264286238424896,0.905143697794429,1.00824913749372,1034.968908725,1.00347860405979
"A5[4]",0.942586411824802,0.0301432496340423,0.883344608741214,1.00244646723918,894.688591413348,1.00271132997661
"A5[5]",0.927982892099959,0.0404869059265315,0.845654896482431,1.00680120196601,996.976900228954,1.0016505471227
"A5[6]",0.996386856519657,0.0563800342869289,0.886797742841847,1.10841375277423,1079.28758302685,0.999653601326235
"A5[7]",1.12561453799321,0.0913505740088984,0.943022581869197,1.31191679274922,1055.19675610577,0.999239512051975
"A5[8]",0.711293883480491,0.126377713399993,0.459113070363814,0.956530774829206,1305.65718033337,1.00063463642246
"A5[9]",1.25271723798505,0.0798942323353859,1.09610432645366,1.4102397086191,2165.89974503372,1.00025276961609
"dm[1]",0.0754323426301701,0,0.0754323426301701,0.0754323426301701,1.00150225338006,0.998999499499374
"dm[2]",0.0479508754924077,0,0.0479508754924077,0.0479508754924077,1.00150225338006,0.998999499499374
"dm[3]",0.0201054956545025,0,0.0201054956545025,0.0201054956545025,1.00150225338006,0.998999499499374
"dm[4]",0.0119052567923392,0,0.0119052567923392,0.0119052567923392,1.00150225338006,0.998999499499374
"dm[5]",0.010947168661661,0,0.010947168661661,0.010947168661661,1.00150225338006,0.998999499499374
"dm[6]",0.00452426031843402,0,0.00452426031843402,0.00452426031843402,1.00150225338006,0.998999499499374
"dm[7]",0.00455991723313826,0,0.00455991723313826,0.00455991723313826,1.00150225338006,0.998999499499374
"dm[8]",0.00420290299969322,0,0.00420290299969322,0.00420290299969322,1.00150225338006,0.998999499499374
"dm[9]",0.0018735534983671,0,0.0018735534983671,0.0018735534983671,1.00150225338006,0.998999499499374
"dm[10]",0.00177018659785953,0,0.00177018659785953,0.00177018659785953,1.00150225338006,0.998999499499374
"beta[1]",-0.569461313304559,0.00422151292153133,-0.577720979666113,-0.561172040551451,3473.34593237392,1.0003199540257
"beta[2]",-0.686715473192359,0.00925793059922334,-0.705172366366121,-0.668237470561653,2825.67882933368,1.00011205648047
"beta[3]",-0.0363534789490742,0.000445400204649092,-0.0372186274910957,-0.0355043748965563,2070.04914350607,0.999263780207471
"beta[4]",0.174649512191106,0.0019278402115276,0.170845976601218,0.178430341475057,4665.1551007718,0.999228119850813
"sigma[1]",0.945644370884321,0.011789396553451,0.922653962048715,0.968547393347928,2550.96354818853,0.999791520633654
"sigma[2]",0.540575624645504,0.00680566625283713,0.527799624642148,0.554542753767392,2619.8636571227,0.99990701028837
"sigma[3]",1.22497698842116,0.015926898961488,1.194346714498,1.25565560320583,2467.69122183768,0.999138636281656
"sigma[4]",0.0532007857390648,0.000629276174763128,0.0519686552838662,0.0544230215178995,3015.68977206632,0.999799195144005
"sigma[5]",0.23790939324291,0.00304807176320464,0.231971002880165,0.244079847479497,2835.82226427119,0.999620596552279
"logh0[1]",-0.891930608971833,0.779319372973352,-2.45747673273046,0.649191098804556,450.553087186038,1.0009777440135
"logh0[2]",-0.633254424850575,0.811011902663971,-2.22438281855027,0.978451181483513,482.455389056492,1.00158663314895
"logh0[3]",-0.736023948552966,0.797306040243103,-2.30001080753068,0.803230292105291,482.381674169245,1.00097301830059
"logh0[4]",0.719350685075671,0.848619230869257,-0.97253834194669,2.39904942620831,500.718446451257,1.0008390406167
"gamma_x[1]",-0.0215721017656701,0.00896320364324796,-0.0391427946848008,-0.00408680223365742,510.777413338429,1.00247189414285
"gamma_x[2]",0.153383680085493,0.138765824437189,-0.126092795389587,0.420665396286275,1626.87516791261,1.00076518765828
"gamma_x[3]",-0.00764763196452032,0.0216030958094685,-0.0499148150730278,0.0349374443848316,1168.01248562743,0.999773250987564
"gamma_x[4]",0.300301336899438,0.0910434396017313,0.114611665059846,0.484149309083698,1539.02603906763,0.999392557416864
"gamma0",0.57279516507919,0.0376349625253565,0.500287908436569,0.648410885896799,2139.10341727911,0.999090020865152
"gamma1[1]",0.144025975392964,0.10813371996101,-0.0785392396438095,0.349071386982448,1038.67904694805,1.00227403987003
"gamma1[2]",0.153052149517586,0.0978927587264957,-0.0410322444286274,0.339497485222586,1267.12931302079,1.00002672615015
"gamma1[3]",0.00604862082990324,0.0963560238709264,-0.177684496093335,0.195416477967695,1389.25573537793,1.00039754779088
"gamma1[4]",-0.134325701624611,0.0908255389050312,-0.324448856551652,0.0338699649834492,906.889792924108,1.00064356137187
"gamma1[5]",0.255367281331692,0.0889669243274505,0.079023960002021,0.428987818496531,915.829646912916,1.00159363511652
"gamma_m[1]",-0.786870009972533,0.204670060449689,-1.18250252817619,-0.381753264039203,1728.91929147978,1.0016287660763
"gamma_m[2]",-1.19795340153038,0.293420820686371,-1.76631290199294,-0.629735226345874,1518.53125762534,0.999086322971424
"gamma_m[3]",-0.323409478222513,0.393834022569452,-1.09368445366056,0.495445567139158,1747.16460982951,1.00071580066733
"gamma_m[4]",0.879791514752083,0.567955517756032,-0.210095032695565,1.98779229796441,1914.20476706346,0.999600274084648
"gamma_m[5]",-1.66527068399109,0.560220412184463,-2.82224692873217,-0.597898415758442,1879.46671517538,0.999160949382941
"gamma_m[6]",-1.20250518984039,0.867589684501957,-2.86163851270199,0.530516436920213,2724.65730449359,0.999790702454885
"gamma_m[7]",1.74151689184358,0.891097417615531,-0.0288831022281816,3.47020361311068,2185.58511406007,0.999051663944402
